id,recipe_id,ingredient,quantity_imperial,unit_imperial,quantity_metric,unit_metric,notes
1,1,"roots of Spanish Angelica, Burdock, Filipendula",4.0,ounces,124.4,g,
2,1,Elecampane,2.0,ounces,62.2,g,
3,1,"Herb Robert, Ragwort, Sage",4.0,handfuls,4.0,handfuls,
4,1,"Scordium, Rue",2.0,handfuls,2.0,handfuls,
5,1,"live Millepeds 1 pint, crude Antimony (broken into small pieces, and tied up in a rag)",1.0,pound,373.0,g,
6,1,put these in a bag for,4.0,gallons,15140.0,ml,
7,2,guaiacum,4.0,ounces,124.4,g,
8,2,"Sassaphras, roots of Sarsaparil, Sharp-pointed Docks, Filipendula, Hounds-tongue, and Walnut-tree rind",2.0,ounces,62.2,g,
9,2,"Herb Robert, Arch-angel",4.0,handfuls,4.0,handfuls,
10,2,Millipedes,1.0,pint,473.0,ml,
11,3,Pine (or Firr) tops cut,4.0,handfuls,4.0,handfuls,
12,3,boil them in,5.0,gallons,18925.0,ml,
13,3,"when its tunned up, pour into it the juices of Brooklime, Water-cresses, Dandelion, Cleavers",1.0,pint,473.0,ml,
14,4,"Chips of Guaiacum, Sassaphras, Walnut-tree rinds, roots of sharp pointed Dock, Filipendula and Hounds-Tongue",2.0,ounces,62.2,g,
15,4,"Herb Robert, Arch-Angel",4.0,handfuls,4.0,handfuls,
16,4,Raisins of the sun stoned,1.0,pound,373.0,g,
17,4,live Millepedes,1.0,pint,473.0,ml,
18,5,"Guaiacum, Sassaphras",2.0,ounces,62.2,g,
19,5,"yellow and red Sanders, Ivory, Harts-horn, Sarsa and China",1.0,ounce,31.1,g,
20,5,"Liquorice, Anniseed, Juniper berries",2.0,ounces,62.2,g,
21,5,Raisins,0.5,pound,186.5,g,
22,5,"Antimony (broken into small pieces, and tied up in a rag)",1.0,pound,373.0,g,
23,6,midling Ale,1.0,quart,946.0,ml,
24,6,Spirit of Scurvy grass,2.0,drams,7.78,g,
25,6,Juniper berries,1.0,dram,3.89,g,
26,6,"Sweet fennel seed, Liquorice, each",0.5,dram,1.95,g,
27,6,Raisins,2.0,drams,7.78,g,
28,6,keep it in a glass bottle. To these may be added Horse-Radish root,2.0,scruples,2.59,g,
29,6,Winters cinnamon,4.0,scruples,5.18,g,
30,7,"of the best Hungarian Antimony (grosly powder'd, and tied up in a rag)",1.0,pound,373.0,g,
31,7,"put them into a bag, which hang into",4.0,gallons,15140.0,ml,
32,8,"roots of Succory, Male-fern, Liquorice, and the 5 opening roots",2.0,ounces,62.2,g,
33,8,"Harts-tongue, Liverwort, Ground-Ivy, Tamarisk-tops",2.0,handfuls,2.0,handfuls,
34,8,"Juniper-berries, Sweet Fennel-seed",2.0,ounces,62.2,g,
35,8,Raisins of the sun stoned,8.0,ounces,248.8,g,
36,8,prepare these to be hanged in a bag in,4.0,gallons,15140.0,ml,
37,9,"Guaiacum, Sassaphras",1.0,ounce,31.1,g,
38,9,"Ground-pine, Germander",2.0,handfuls,2.0,handfuls,
39,9,boil in Wort (instead of Hops) from 6 to,4.0,gallons,15140.0,ml,
40,10,"Roots of Comfery, Solomon's Seal",8.0,ounces,248.8,g,
41,10,boil them in,6.0,gallons,22710.0,ml,
